2023-09-25 12:47:34,747 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2023-09-25 12:48:43,895 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2023-09-25 12:51:59,405 [Worker-27: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: back_hw_04_2_P:back_hw_04_2_P:0.0.1-SNAPSHOT @ C:\jsong98\SSAFY\BackEnd\back_db_hw_04_2\pom.xml.
2023-09-25 12:52:00,706 [Worker-27: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-09-25 12:52:00,711 [Worker-27: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jsong98\SSAFY\BackEnd\back_db_hw_04_2\src\main\resources
2023-09-25 12:52:00,713 [Worker-27: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-09-25 12:52:00,714 [Worker-27: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jsong98\SSAFY\BackEnd\back_db_hw_04_2\src\test\resources
2023-09-25 12:52:01,074 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-09-25 12:52:01,076 [Worker-37: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jsong98\SSAFY\BackEnd\back_db_hw_04_2\src\main\resources
2023-09-25 12:52:01,078 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-09-25 12:52:01,080 [Worker-37: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jsong98\SSAFY\BackEnd\back_db_hw_04_2\src\test\resources
2023-09-25 12:52:02,337 [Worker-37: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: selenium_practice:selenium_practice:0.0.1-SNAPSHOT @ C:\jsong98\SSAFY\Selenium\pom.xml.
2023-09-25 12:52:02,753 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-09-25 12:52:02,753 [Worker-37: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jsong98\SSAFY\Selenium\src\main\resources
2023-09-25 12:52:02,754 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-09-25 12:52:02,754 [Worker-37: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jsong98\SSAFY\Selenium\src\test\resources
2023-09-25 12:52:04,001 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-09-25 12:52:04,002 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jsong98\SSAFY\Selenium\src\main\resources
2023-09-25 12:52:04,003 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-09-25 12:52:04,004 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jsong98\SSAFY\Selenium\src\test\resources
